,ASX code,Company name,GICs industry group,Listing date,Market Cap,market_cap,beta,industry_cap,industry_weight,weighted_beta,industry_beta
1205,NTD,NTAW HOLDINGS LIMITED,Consumer Discretionary Distribution & Retail,15/12/2017,39411288,39411288,0.29846850944355474,143099880937,0.0002754110467593673,8.220152461055752e-05,0.9825524600056665
1206,NTI,NEUROTECH INTERNATIONAL LIMITED,Health Care Equipment & Services,04/11/2016,18148384,18148384,0.9909231278294206,195869793311,9.265534870496436e-05,9.181432794884894e-05,0.7240078018435547
1208,NTU,NORTHERN MINERALS LIMITED,Materials,15/11/2006,353294778,353294778,0.7765048715503972,1009891818903,0.00034983428064975136,0.0002716480231598608,1.0750260251119568
1209,NUC,NUCHEV LIMITED,"Food, Beverage & Tobacco",09/12/2019,21004133,21004133,0.30390766317216567,22040372634,0.0009529844775672498,0.00028961928561681,0.6414310699034725
1210,NUF,NUFARM LIMITED,Materials,10/11/1988,898920189,898920189,1.0769114994324858,1009891818903,0.0008901153293591947,0.0009585754340080512,1.0750260251119568
1211,NUZ,NEURIZON THERAPEUTICS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",05/10/2001,49824717,49824717,0.8635468554733869,104138713167,0.00047844567581797914,0.0004131602588674554,0.8464389618170871
1212,NVA,NOVA MINERALS LIMITED,Materials,11/06/1987,532503625,532503625,0.8728868041205184,1009891818903,0.000527287789674774,0.0004602625535809856,1.0750260251119568
1213,NVO,NOVO RESOURCES CORP.,Materials,11/09/2023,49648239,49648239,0.3101197229439996,1009891818903,4.916193801226219e-05,1.5246086595752832e-05,1.0750260251119568
1214,NVQ,NOVIQTECH LIMITED,Software & Services,13/12/2018,5898267,5898267,0.9379957972776497,88152131966,6.69100890523549e-05,6.276138232658217e-05,1.2989843852591967
1215,NVU,NANOVEU LIMITED,Technology Hardware & Equipment,30/11/2018,95771743,95771743,0.9085840184899997,10828407429,0.008844490164223945,0.008035962414905869,1.0560303637662039
1216,NVX,NOVONIX LIMITED,Technology Hardware & Equipment,02/12/2015,434186576,434186576,2.236434790476766,10828407429,0.04009699291856965,0.08967430995658968,1.0560303637662039
1218,NWH,NRW HOLDINGS LIMITED,Capital Goods,05/09/2007,2545446892,2545446892,1.1396454877413065,92779037735,0.027435581938998217,0.0312668371603362,0.9099567935722183
